t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
 12.1000  -2.8979   1.0092   0.9119  -2.9789  -1.0093   0.9365   0.6163  -0.9850  -0.0494   0.0975   0.0005   0.2165   0.7693  -0.0152 
 12.2000  -0.9524  -0.6242  -0.6363  -1.1227  -0.2242  -0.0727  -0.2545  -0.1108  -0.0417   0.0102  -0.0051   0.2123   0.7704  -0.0157 
 12.3000  -0.6242  -0.8633  -0.6728  -0.4864  -0.0762  -0.3168  -0.8327  -0.0727  -0.0331  -0.0053  -0.0017   0.2090   0.7699  -0.0159 
 12.4000  -0.4012  -0.7903  -1.1916  -0.2229   0.1160  -0.8812  -1.0430   0.0017  -0.0326  -0.0170   0.0188   0.2057   0.7683  -0.0140 
 12.5000  -0.5026  -1.2767  -1.6212  -0.1702   0.5349  -1.0759  -1.1772   0.2320  -0.0446  -0.0278   0.0220   0.2012   0.7655  -0.0118 
 12.6000  -0.1702  -1.8765  -2.0224   0.0284   0.6535  -1.0872  -1.2585   0.3731  -0.0505  -0.0470   0.0112   0.1961   0.7609  -0.0107 
 12.7000  -0.0000  -2.3629  -2.3750   0.0730   0.7738  -1.0110  -1.2854   0.5773  -0.0583  -0.0601   0.0028   0.1902   0.7550  -0.0104 
 12.8000  -0.0243  -2.4845  -2.7155   0.0608   0.9824  -1.1027  -1.1945   0.7608  -0.0645  -0.0655   0.0103   0.1837   0.7485  -0.0094 
 12.9000   0.0243  -2.6425  -2.7763   0.3404   1.1521  -1.1616  -1.2655   0.7556  -0.0632  -0.0723   0.0146   0.1773   0.7413  -0.0079 
 13.0000   0.3769  -2.8735  -3.0559   0.6079   1.0395  -1.1027  -1.1798   0.7011  -0.0618  -0.0864   0.0134   0.1710   0.7327  -0.0066 
 13.1000   0.6687  -2.8209  -3.6841   0.6809   0.9790  -1.1529  -0.8370   0.7228  -0.0644  -0.0982   0.0284   0.1645   0.7229  -0.0038 
 13.2000   0.7782  -3.1410  -3.1370   0.8876   1.0015  -1.0075  -1.0655   0.6275  -0.0577  -0.0993   0.0034   0.1587   0.7130  -0.0034 
 13.3000   0.7701  -2.7884  -3.2018   0.9646   1.0776  -1.2326  -0.9945   0.5903  -0.0532  -0.0966   0.0197   0.1534   0.7034  -0.0014 
 13.4000   0.8511  -2.9424  -2.9465   0.7538   1.0084  -1.1590  -1.1149   0.7115  -0.0535  -0.0937  -0.0030   0.1480   0.6940  -0.0017 
 13.5000   1.0376  -2.9708  -3.1410   0.7417   0.8985  -1.1382  -0.9340   0.7539  -0.0542  -0.0986  -0.0041   0.1426   0.6842  -0.0021 
