t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
 13.2000  -3.2950   3.2505  -3.3721   3.5625  -0.8881   0.8595  -0.5618   0.5600   0.0018  -0.0049   0.4377  -0.0009  -0.0001   5.1850 
 13.3000  -2.8330   3.1167  -2.8209   2.6020  -0.9011   0.5228  -0.2744   0.4319   0.0008   0.0066   0.3692  -0.0003   0.0001   5.2219 
 13.4000  -3.2221   2.8452  -2.5817   2.8330  -0.8552   0.8032  -0.9002   0.7773  -0.0016   0.0082   0.3728   0.0004   0.0006   5.2592 
 13.5000  -3.4896   3.1046  -3.2950   3.8422  -0.6189   0.6474  -0.7556   0.4761   0.0020  -0.0068   0.4458  -0.0001   0.0001   5.3038 
 13.6000  -2.4926   3.0924  -3.1775   2.2737  -0.9028   0.3419  -0.2199   0.6232  -0.0038   0.0017   0.3583  -0.0002   0.0005   5.3396 
 13.7000  -3.1127   3.1856  -2.9830   3.2950  -0.7773   0.7072  -0.7028   0.6362   0.0048   0.0003   0.4083   0.0001   0.0001   5.3804 
 13.8000  -2.8006   2.4439  -2.9100   2.8816  -0.8690   0.8015  -0.6751   0.5418  -0.0048  -0.0068   0.3583  -0.0007   0.0001   5.4163 
 13.9000  -3.2505   3.3680  -3.4450   3.3477  -0.8915   0.9140  -0.3661   0.5955   0.0003  -0.0022   0.4354  -0.0009  -0.0001   5.4598 
 14.0000  -2.8614   3.1410  -2.8330   2.7276  -0.7903   0.4856  -0.2848   0.4769   0.0022   0.0055   0.3754  -0.0003   0.0002   5.4974 
 14.1000  -3.0397   2.6385  -2.6547   3.0316  -0.9002   0.8777  -0.8301   0.6137  -0.0003  -0.0001   0.3690  -0.0003   0.0002   5.5343 
 14.2000  -3.1613   2.7763  -2.9951   3.4774  -0.9487   1.0776  -0.7418   0.4380   0.0012  -0.0067   0.4029  -0.0007  -0.0004   5.5745 
 14.3000  -2.9587   3.8300  -3.1897   2.7398  -1.1027   0.4562  -0.3878   0.5635   0.0053   0.0107   0.4129   0.0004   0.0001   5.6158 
 14.4000  -2.7722   2.6790  -3.1978   2.7276  -0.9651   0.5488  -0.5877   0.6241  -0.0070  -0.0059   0.3694  -0.0005   0.0000   5.6528 
 14.5000  -3.2221   2.9587  -2.9587   3.4450  -0.9859   1.0543  -0.5669   0.4639   0.0028  -0.0028   0.4086  -0.0005  -0.0004   5.6936 
 14.6000  -2.9789   3.2343  -3.3477   2.8695  -1.0188   0.6094  -0.2683   0.4025  -0.0028  -0.0001   0.4036  -0.0007  -0.0002   5.7340 
 14.7000  -2.8979   3.2343  -2.8857   2.9465  -0.8950   0.5323  -0.3332   0.4743   0.0050   0.0037   0.3885  -0.0001  -0.0001   5.7728 
 14.8000  -3.5058   2.7114  -2.4318   2.4601  -0.7098   0.6656  -0.9132   0.7565  -0.0096   0.0166   0.3607  -0.0001   0.0018   5.8089 
 14.9000  -2.9465   3.2707  -3.4450   3.9314  -0.4934   0.6059  -0.7781   0.7660   0.0101  -0.0145   0.4414   0.0001   0.0000   5.8530 
