t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  8.4000   0.6120   9.6663   0.5228   9.7311  -0.0589   0.9928   0.0043   0.9547   0.2567  -0.0019   0.5929  -0.4360   0.4751   4.6739 
  8.5000   0.6809   9.2934   0.7579   9.0705  -0.1956   0.8786   0.0338   0.5903   0.2475   0.0037   0.5495  -0.4366   0.4504   4.7288 
  8.6000   0.5147   9.3866   0.6809   9.4515  -0.0493   0.8985   0.1194   0.7626   0.2504   0.0013   0.5728  -0.4361   0.4254   4.7861 
  8.7000   0.5107   9.4109   0.9119   9.2083   0.0502   0.6570   0.1420   0.7193   0.2505   0.0075   0.5583  -0.4335   0.4004   4.8419 
  8.8000   0.9160   9.4393   0.7214   9.1191   0.0459   0.4890  -0.0744   0.9755   0.2524   0.0016   0.5494  -0.4301   0.3754   4.8969 
  8.9000   0.9160   9.7190   0.6687   9.2529   0.1212   0.3930  -0.1342   0.7877   0.2570   0.0027   0.5645  -0.4251   0.3502   4.9533 
  9.0000   1.0943   8.9894   0.6849   9.5690   0.1047   0.4761  -0.2095   0.6033   0.2542  -0.0124   0.5448  -0.4202   0.3252   5.0078 
  9.1000   0.6849   8.5841   0.6566   9.5812  -0.2571   0.9123  -0.0355   0.3393   0.2438  -0.0128   0.5462  -0.4143   0.3015   5.0624 
  9.2000   0.7093   9.1718   0.6687   9.0746  -0.2934   1.0344   0.0762   0.5271   0.2453   0.0007   0.5477  -0.4058   0.2785   5.1172 
  9.3000   0.6566   9.3137   0.6444   9.1799  -0.2121   0.9262   0.0303   0.6847   0.2474   0.0015   0.5582  -0.3960   0.2558   5.1730 
  9.4000   0.9160   9.2042   0.7701   9.4515  -0.2960   0.9807   0.0208   0.5228   0.2543  -0.0049   0.5510  -0.3851   0.2328   5.2281 
  9.5000   0.5512   9.2448   0.7903   9.0948  -0.4605   1.0595   0.0052   0.5116   0.2460   0.0049   0.5519  -0.3725   0.2117   5.2833 
  9.6000   0.9119   9.1435   0.6971   9.2529  -0.5245   1.1971   0.0312   0.6656   0.2501  -0.0041   0.5450  -0.3594   0.1904   5.3378 
  9.7000   0.8876  10.3472   0.7701   9.0867  -0.7686   0.8188   0.0242   0.6371   0.2636   0.0143   0.5772  -0.3428   0.1699   5.3955 
  9.8000   0.8146   9.3420   0.6120   8.8314  -0.5669   0.5514  -0.2103   0.6102   0.2450   0.0039   0.5437  -0.3270   0.1511   5.4499 
  9.9000   0.3567   9.0016   0.6363   9.8608  -0.3012   0.9893  -0.1653   0.4813   0.2482  -0.0072   0.5802  -0.3109   0.1322   5.5079 
 10.0000   0.4620   8.9286   0.8876   9.0219  -0.3151   1.0179   0.0182   0.5349   0.2413   0.0042   0.5390  -0.2933   0.1157   5.5618 
 10.1000   0.5715   9.2407   0.5715   9.1597  -0.2207   1.0707   0.0597   0.9591   0.2443   0.0010   0.5603  -0.2749   0.0996   5.6178 
 10.2000   0.7174   9.2529   0.7052   9.2042  -0.0770   1.0335   0.0822   0.9426   0.2485   0.0005   0.5531  -0.2554   0.0843   5.6732 
 10.3000   0.7660   9.2894   0.6079   9.5812  -0.0736   1.0041   0.0779   0.8145   0.2531  -0.0056   0.5681  -0.2349   0.0693   5.7300 
 10.4000   0.7336   9.5812   0.7579   9.5001  -0.1065   0.8058   0.0130   0.5531   0.2572   0.0013   0.5711  -0.2130   0.0559   5.7871 
 10.5000   0.7903   9.6947   0.7944   9.2286  -0.0424   0.5072   0.0874   0.5531   0.2563   0.0059   0.5629  -0.1902   0.0443   5.8434 
 10.6000   0.8390   9.4717   0.6323   8.9854   0.0251   0.3246  -0.0571   0.6232   0.2491   0.0035   0.5515  -0.1675   0.0340   5.8985 
 10.7000   0.9281   8.9975   0.6809   9.2083   0.0675   0.6172  -0.0892   0.6397   0.2477  -0.0057   0.5389  -0.1447   0.0241   5.9524 
 10.8000   0.6079   8.4018   0.7538   9.8000  -0.0563   1.2447   0.0234   0.4475   0.2445  -0.0157   0.5468  -0.1221   0.0147   6.0071 
 10.9000   1.0132   8.7787   0.8065   9.5001  -0.5289   1.5468   0.1645   0.3627   0.2512  -0.0116   0.5344  -0.0983   0.0068   6.0605 
 11.0000   0.3283   9.6460   0.7944   8.9489  -0.5522   1.4126   0.1567   0.5444   0.2465   0.0145   0.5673  -0.0739   0.0027   6.1172 
 11.1000   1.1672   9.2042   0.8795   9.2083  -0.4639   1.2594   0.0467   0.7340   0.2557  -0.0036   0.5314  -0.0487  -0.0019   6.1704 
 11.2000   0.5715   9.4961   0.5026   9.5609  -0.7911   1.3910   0.0407   0.4717   0.2516  -0.0017   0.5839  -0.0237  -0.0049   6.2288 
 11.3000   0.3202   9.5812   1.1308   9.0097  -0.4008   1.1010   0.0138   0.4553   0.2505   0.0173   0.5565   0.0014  -0.0045   6.2844 
